route_id,stop_id,stop_sequence
1,S5572,1
1,S5605,2
1,S5559,3
1,S5560,4
1,S5614,5
1,S5564,6
1,S5627,7
1,S5606,8
1,S5524,9
1,S5378,10
1,S5441,11
1,S5472,12
1,S5426,13
1,S5431,14
1,S5532,15
1,S5603,16
1,S5660,17
1,S5930,18
1,S5637,19
1,S5665,20
1,S5496,21
1,S5571,22
1,S5409,23
1,S5544,24
1,S5453,25
1,S5490,26
1,S5646,27
1,S5489,28
1,S5659,29
1,S5563,30
10,S5401,1
10,S5622,2
10,S5548,3
10,S5589,4
10,S5662,5
10,S5389,6
10,S5634,7
10,S5517,8
10,S5446,9
10,S5638,10
10,S5519,11
10,S5444,12
10,S5535,13
10,S5384,14
10,S5481,15
10,S5576,16
10,S5440,17
10,S5648,18
10,S5513,19
10,S5495,20
10,S5593,21
10,S5456,22
10,S5637,23
10,S5492,24
10,S5651,25
10,S5547,26
10,S5568,27
10,S5596,28
10,S5368,29
10,S5420,30
10,S5373,31
10,S5406,32
10,S5601,33
10,S5565,34
10,S5623,35
10,S5379,36
10,S5369,37
11,S5512,1
11,S5485,2
11,S5435,3
11,S5923,4
11,S5920,5
11,S5658,6
11,S5550,7
11,S5540,8
11,S5463,9
11,S5457,10
11,S5449,11
11,S5554,12
11,S5483,13
11,S5436,14
11,S5419,15
11,S5922,16
11,S5629,17
11,S5827,18
11,S5465,19
11,S5416,20
11,S5500,21
11,S5466,22
11,S5536,23
11,S5414,24
11,S5470,25
11,S5551,26
11,S5655,27
11,S5556,28
11,S5663,29
13,S5665,1
13,S5451,2
13,S5475,3
13,S5903,4
13,S5442,5
13,S5557,6
13,S5591,7
13,S5611,8
13,S5497,9
13,S5537,10
13,S5397,11
13,S5681,12
13,S5520,13
13,S5670,14
13,S5902,15
13,S5903,16
13,S5475,17
13,S5451,18
13,S5665,19
14,S5190,1
14,S5653,2
14,S5473,3
14,S5461,4
14,S5578,5
14,S5644,6
14,S5464,7
14,S5392,8
14,S5448,9
14,S5599,10
14,S5445,11
14,S5528,12
14,S5524,13
15,S5633,1
15,S5552,2
15,S5522,3
15,S5921,4
15,S5424,5
15,S5586,6
15,S5529,7
15,S5573,8
15,S5658,9
15,S5550,10
15,S5540,11
15,S5662,12
15,S5389,13
15,S5505,14
15,S5626,15
15,S5534,16
15,S5493,17
15,S5413,18
15,S5675,19
15,S5456,20
15,S5637,21
15,S5492,22
15,S5543,23
15,S5649,24
15,S5664,25
15,S5368,26
15,S5390,27
15,S5630,28
15,S5558,29
15,S5642,30
15,S5177,31
15,S5177,32
15,S5190,33
15,S5653,34
15,S5584,35
15,S5595,36
15,S5656,37
15,S5482,38
15,S5600,39
15,S5516,40
15,S5580,41
15,S5668,42
15,S5559,43
15,S5572,44
16,S5177,1
16,S5198,2
16,S5194,3
16,S5380,4
16,S5595,5
16,S5656,6
16,S5376,7
16,S5549,8
16,S5641,9
16,S5425,10
16,S5587,11
16,S5874,12
16,S5606,13
16,S5645,14
16,S5614,15
17,S5529,1
17,S5586,2
17,S5478,3
17,S5582,4
17,S5521,5
17,S5678,6
17,S5674,7
17,S5618,8
17,S5501,9
17,S5921,10
17,S5522,11
17,S5385,12
17,S5628,13
17,S5477,14
17,S5487,15
17,S5609,16
17,S5922,17
17,S5629,18
17,S5827,19
18,S5327,1
18,S5335,2
18,S5330,3
18,S5341,4
18,S5338,5
18,S5333,6
18,S5339,7
18,S5332,8
18,S5339,9
18,S5333,10
18,S5336,11
18,S5633,12
19,S5594,1
19,S5553,2
19,S5427,3
19,S5430,4
19,S5502,5
19,S5608,6
19,S5398,7
19,S5592,8
19,S5428,9
19,S5620,10
19,S5490,11
19,S5476,12
19,S5646,13
19,S5489,14
19,S5574,15
19,S5541,16
19,S5498,17
2,S5760,1
2,S5761,2
2,S5751,3
2,S5766,4
2,S5633,5
2,S5672,6
2,S5433,7
2,S5555,8
2,S5523,9
2,S5635,10
2,S5569,11
2,S5629,12
2,S5472,13
2,S5426,14
2,S5431,15
2,S5387,16
2,S5509,17
2,S5368,18
2,S5642,19
2,S5177,20
2,S5181,21
2,S5189,22
2,S5176,23
2,S5196,24
2,S5170,25
2,S5818,26
2,S5186,27
2,S5291,28
20,S5887,1
20,S5888,2
20,S5746,3
20,S5756,4
20,S5743,5
20,S5747,6
20,S5886,7
20,S5905,8
20,S5744,9
20,S5750,10
20,S5757,11
20,S5765,12
20,S5761,13
21,S5721,1
21,S5882,2
21,S5883,3
21,S5884,4
21,S5717,5
21,S5720,6
21,S5155,7
21,S5156,8
21,S5158,9
21,S5163,10
21,S5162,11
21,S5160,12
21,S5164,13
21,S5165,14
21,S5154,15
21,S5852,16
21,S5792,17
21,S5786,18
21,S5791,19
21,S5780,20
21,S5785,21
21,S5783,22
21,S5789,23
21,S5787,24
21,S5790,25
21,S5796,26
21,S5795,27
21,S5796,28
21,S5891,29
21,S5782,30
21,S5254,31
21,S5252,32
21,S5173,33
21,S5196,34
22,S5286,1
22,S5292,2
22,S5293,3
22,S5298,4
22,S5294,5
22,S5290,6
22,S5303,7
22,S5285,8
22,S5295,9
22,S5291,10
22,S5295,11
22,S5280,12
22,S5283,13
22,S5287,14
22,S5212,15
22,S5216,16
22,S5219,17
22,S5220,18
22,S5217,19
22,S5218,20
22,S5221,21
22,S5673,22
22,S5537,23
22,S5397,24
22,S5681,25
22,S5520,26
22,S5670,27
22,S5902,28
22,S5903,29
22,S5475,30
22,S5451,31
22,S5665,32
23,S5712,1
23,S5711,2
23,S5705,3
23,S5708,4
23,S5710,5
23,S5707,6
23,S5706,7
23,S5878,8
23,S5879,9
23,S5881,10
23,S5877,11
23,S5880,12
23,S5352,13
23,S5356,14
23,S5673,15
23,S5537,16
23,S5497,17
23,S5611,18
23,S5571,19
24,S5273,1
24,S5277,2
24,S5271,3
24,S5395,4
24,S5381,5
24,S5434,6
24,S5468,7
24,S5544,8
24,S5453,9
24,S5267,10
24,S5272,11
24,S5275,12
24,S5270,13
24,S5268,14
24,S5269,15
24,S5814,16
24,S5278,17
24,S5276,18
24,S5274,19
25,S5315,1
25,S5307,2
25,S5309,3
25,S5319,4
25,S5305,5
25,S5325,6
25,S5316,7
25,S5864,8
25,S5311,9
25,S5320,10
25,S5313,11
25,S5321,12
25,S5306,13
25,S5317,14
25,S5318,15
25,S5324,16
25,S5322,17
25,S5304,18
25,S5310,19
25,S5314,20
25,S5312,21
25,S5323,22
25,S5861,23
26,S5571,1
26,S5374,2
26,S5611,3
26,S5497,4
26,S5537,5
26,S5919,6
26,S5356,7
26,S5357,8
26,S5355,9
27,S5291,1
27,S5212,2
27,S5845,3
27,S5915,4
27,S5723,5
27,S5724,6
27,S5726,7
27,S5727,8
27,S5722,9
27,S5725,10
27,S5885,11
27,S5726,12
27,S5348,13
27,S5868,14
27,S5867,15
27,S5727,16
27,S5722,17
27,S5889,18
27,S5779,19
27,S5778,20
27,S5777,21
27,S5890,22
27,S5911,23
27,S5211,24
27,S5209,25
27,S5210,26
27,S5853,27
27,S5852,28
28,S5683,1
28,S5682,2
28,S5689,3
28,S5690,4
28,S5693,5
28,S5838,6
28,S5684,7
28,S5686,8
28,S5691,9
28,S5687,10
28,S5326,11
3,S5327,1
3,S5331,2
3,S5326,3
3,S5575,4
3,S5614,5
3,S5564,6
3,S5918,7
3,S5677,8
3,S5604,9
3,S5917,10
3,S5570,11
3,S5636,12
3,S5610,13
3,S5527,14
3,S5383,15
3,S5510,16
3,S5662,17
3,S5588,18
3,S5498,19
3,S5598,20
3,S5401,21
3,S5563,22
30,S5249,1
30,S5255,2
30,S5250,3
30,S5817,4
30,S5246,5
30,S5238,6
30,S5240,7
30,S5243,8
30,S5256,9
