from_stop,to_stop,travel_cost
1160,1187,180
1187,1161,60
1161,1162,60
1162,1163,120
1163,1164,60
1164,1165,180
1165,1166,60
1166,1167,180
1167,1168,60
1168,1169,120
1169,1170,180
1170,1171,120
1171,1172,180
1172,1173,60
1173,1174,120
1174,1175,120
1175,1176,60
1176,1177,180
1177,1178,60
1178,1179,120
1179,1180,120
1180,1181,120
1181,1182,120
1182,1183,180
1183,1184,60
1184,1185,120
1185,1186,60
1186,1188,120
1188,1130,120
1130,1159,120
1159,1131,120
1131,1132,120
1132,1133,120
1133,1134,60
1134,1135,120
1135,1136,120
1136,1137,120
1137,1138,60
1138,1139,120
1139,1140,120
1140,1141,60
1141,1142,120
1142,1143,120
1143,1144,120
1144,1145,120
1145,1146,180
1146,1147,120
1147,1148,60
1148,1149,120
1149,1150,120
1150,1151,120
1151,1152,120
1152,1153,120
1153,1154,120
1154,1155,60
1155,1156,60
1156,1158,120
1158,1157,60
1189,1190,120
1190,1191,60
1191,1192,120
1192,1193,240
1193,1194,120
1194,1195,60
1195,1196,60
1196,1197,60
1197,1198,120
1198,1199,120
1199,1200,60
1200,1170,180
1171,1206,240
1206,1207,60
1207,1208,60
1208,1209,180
1209,1210,60
1210,1211,120
1211,1212,60
1212,1213,60
1213,1214,60
1214,1215,120
1215,1216,120
1216,1217,240
1217,1218,120
1218,1219,120
1219,1220,120
1220,1221,120
1221,1222,240
1222,1223,120
1223,1224,60
1224,1225,60
1225,1226,60
1226,1227,120
1227,1228,60
1228,1229,120
1229,1230,120
1230,1231,60
1231,1232,120
1232,1146,180
1147,1238,120
1238,1239,120
1239,1240,120
1240,1241,60
1241,1242,60
1242,1243,120
1243,1244,0
1244,1245,180
1245,1246,240
1246,1247,120
1247,1248,60
1248,1189,120
1435,1266,120
1266,1267,180
1267,1165,180
1166,1204,120
1204,1205,180
1205,1172,120
1173,1436,120
1436,1437,120
1437,1438,60
1438,1261,120
1261,1285,120
1285,1238,60
1239,1263,120
1263,1264,60
1264,1439,120
1433,1283,60
1283,1284,120
1284,1199,180
1200,1262,180
1262,1286,60
1286,1432,60
1432,1431,120
1431,1430,120
1430,1144,60
1145,1233,120
1233,1234,120
1234,1151,120
1152,1280,120
1280,1281,120
1281,1434,120
275,276,0
276,277,120
277,1659,60
1659,1660,60
1660,305,60
305,280,60
280,281,60
281,282,0
282,283,60
283,284,60
284,285,60
285,286,60
286,287,60
287,1709,60
1709,1662,240
1662,1663,120
1663,1675,120
1675,547,0
547,102,60
102,103,60
103,104,60
104,105,0
105,106,60
106,107,60
107,108,60
108,109,60
109,112,120
112,60,120
60,61,120
61,64,120
64,65,120
65,66,120
66,67,0
67,68,60
68,69,60
69,70,60
70,71,60
71,321,60
321,322,0
322,1406,120
1406,1363,120
1363,1665,180
1665,1710,180
1710,1656,60
1656,257,60
257,258,120
258,259,0
259,260,60
260,261,60
261,262,60
262,263,60
263,271,0
271,1658,60
1658,1657,120
1657,265,60
265,266,60
266,267,60
267,1377,60
24,27,0
27,28,60
28,29,0
29,30,60
30,31,60
31,32,60
32,33,60
33,34,0
34,35,60
35,36,60
36,37,120
37,583,0
583,45,120
45,23,60
23,269,60
269,1452,240
268,385,60
385,301,60
301,585,60
585,22,0
22,584,120
584,12,120
12,13,60
13,14,0
14,15,0
15,25,60
25,26,60
26,16,0
16,17,60
17,18,60
18,19,60
19,20,60
20,21,120
508,509,60
509,511,60
511,392,120
392,1617,60
1474,359,60
359,500,180
500,502,120
502,508,60
431,38,0
38,39,60
39,40,60
40,41,0
41,338,120
338,339,60
339,340,0
340,341,60
341,342,0
342,343,60
343,344,0
344,345,60
345,346,60
346,347,0
347,254,60
254,289,60
289,73,60
73,74,60
74,205,120
205,467,60
467,444,60
444,443,120
443,435,0
435,202,120
202,203,0
203,201,60
201,471,60
471,204,60
204,472,0
472,473,60
473,474,0
474,475,60
475,476,0
476,477,120
477,478,60
478,1468,120
481,482,0
482,483,120
483,484,60
484,485,60
485,486,0
486,487,0
487,488,0
488,184,60
184,489,0
489,183,60
183,479,60
479,480,60
480,400,120
400,411,60
411,430,120
430,185,60
185,186,0
186,373,180
373,374,60
374,375,60
375,376,0
376,377,0
377,378,60
378,379,0
379,380,60
380,381,0
381,382,60
382,383,0
383,8,180
8,9,60
9,10,60
10,11,60
11,405,120
324,325,0
325,326,120
326,327,0
327,328,60
328,535,120
535,329,0
329,330,60
330,331,60
331,332,0
332,333,60
333,539,120
539,387,120
387,126,60
126,536,60
536,310,60
310,311,60
311,312,60
312,313,0
313,537,60
537,538,60
538,314,60
314,315,0
315,316,120
316,317,60
317,418,60
827,849,0
849,847,60
847,836,60
836,837,60
837,838,0
838,1513,60
1513,1517,60
1517,1516,120
1516,814,180
814,815,0
815,816,0
816,817,60
817,818,0
818,819,60
819,820,0
820,821,60
821,829,60
829,830,60
830,831,0
831,834,60
834,1515,120
1515,1514,60
1510,853,60
853,855,60
855,852,60
852,851,60
851,850,0
850,839,60
839,840,60
840,841,0
841,842,60
842,843,0
843,844,60
844,845,0
845,846,60
846,1511,180
1511,1512,60
1512,833,60
833,822,60
822,823,60
823,824,60
824,825,60
825,835,0
835,1349,120
1572,1126,0
1126,1571,60
1571,704,180
704,705,0
705,706,60
706,707,60
707,708,0
708,1613,120
1613,696,60
696,1127,60
1127,727,60
727,709,60
709,710,60
710,711,60
711,722,0
722,712,60
712,713,120
713,714,60
714,720,60
720,715,60
715,726,240
726,190,60
190,1620,60
1620,208,60
208,209,60
209,1602,60
1602,1603,0
1603,1604,120
1604,1605,60
1605,1606,60
1606,1607,120
1593,1594,0
1594,1595,60
1595,1596,0
1596,1597,120
1597,176,60
176,177,60
177,178,60
178,1651,180
1651,1652,0
1652,677,300
677,678,60
678,679,60
679,680,60
680,681,60
681,682,60
682,683,120
683,684,0
684,685,60
685,702,60
702,1129,60
1129,1343,60
1343,1612,60
1612,1493,60
1493,1494,60
1494,1495,0
1495,1496,60
1496,1497,60
1497,1573,120
1573,1128,60
1128,1574,60
930,929,0
929,928,60
928,1338,60
1338,615,240
615,616,60
616,617,0
617,618,60
618,619,0
619,621,60
621,622,60
622,623,60
623,624,60
624,1357,60
1357,1355,240
1353,1352,180
1352,596,60
596,597,60
597,598,60
598,599,0
599,607,60
607,600,60
600,601,0
601,602,120
602,603,60
603,1338,180
1338,932,60
932,933,60
933,931,60
744,745,0
745,746,60
746,747,60
747,748,60
748,753,0
753,754,60
754,1509,60
1509,1508,0
1508,1507,60
1507,1506,0
1506,1505,60
1505,763,120
763,764,60
764,726,360
190,200,0
200,779,60
779,1345,240
752,46,60
46,225,120
225,182,60
182,1651,60
1652,740,420
740,741,0
741,1499,120
1499,1500,60
1500,1501,0
1501,1502,60
1502,1503,60
1503,777,0
777,778,60
778,756,60
756,757,0
757,759,60
759,760,60
145,146,60
146,147,0
147,149,120
149,150,60
150,151,0
151,152,60
152,153,60
153,154,60
154,1029,0
1029,1025,60
1025,1026,60
1026,1027,60
1027,155,60
155,1024,180
1030,130,0
130,131,120
131,1028,60
1028,148,60
148,150,60
1013,127,60
127,128,60
128,1016,0
1016,129,60
129,1014,60
1014,1018,0
1018,136,60
136,137,60
137,138,0
138,139,60
139,140,60
140,141,0
141,143,60
143,144,60
144,1361,60
140,142,0
142,1017,120
1017,168,120
168,169,60
169,1360,60
696,711,300
711,1459,360
1459,1639,60
1639,1097,480
1097,1100,0
1100,1101,120
1101,1098,60
1098,1102,60
1102,1103,60
1103,1530,60
1530,10011012,240
10011012,1104,180
1104,1441,120
1441,1533,0
